campus_id,timestamp,demand_kVA,apparent_temperature,relative_humidity,wind_speed,hour,day_of_week
1.0,2018-05-17 19:30:00,735.587,11.6,87.0,7.6,19,3
1.0,2018-05-17 19:45:00,731.54,12.1,84.0,5.4,19,3
1.0,2018-05-17 20:00:00,713.353,10.8,82.0,13.0,20,3
1.0,2018-05-17 20:15:00,711.516,11.4,81.0,9.4,20,3
1.0,2018-05-17 20:30:00,693.72,10.9,79.0,13.0,20,3
1.0,2018-05-17 20:45:00,704.435,11.5,78.0,9.4,20,3
1.0,2018-05-17 21:00:00,704.923,11.9,79.0,7.6,21,3
1.0,2018-05-17 21:15:00,660.846,11.6,79.0,9.4,21,3
1.0,2018-05-17 21:30:00,664.698,11.6,79.0,9.4,21,3
1.0,2018-05-17 21:45:00,651.812,11.9,79.0,7.6,21,3
1.0,2018-05-17 22:00:00,639.711,11.6,79.0,9.4,22,3
1.0,2018-05-17 22:15:00,645.257,11.8,82.0,7.6,22,3
1.0,2018-05-17 22:30:00,634.554,11.9,83.0,7.6,22,3
1.0,2018-05-17 22:45:00,617.909,12.7,86.0,3.6,22,3
1.0,2018-05-17 23:00:00,625.426,11.8,89.0,7.6,23,3
1.0,2018-05-17 23:15:00,629.388,11.9,87.0,7.6,23,3
1.0,2018-05-17 23:30:00,627.613,11.8,94.0,5.4,23,3
1.0,2018-05-17 23:45:00,605.844,11.7,99.0,5.4,23,3
1.0,2018-05-18 00:00:00,583.959,11.7,99.0,3.6,0,4
1.0,2018-05-18 00:15:00,591.65,12.4,100.0,0.0,0,4
1.0,2018-05-18 00:30:00,608.059,10.9,100.0,7.6,0,4
1.0,2018-05-18 00:45:00,586.192,11.7,100.0,3.6,0,4
1.0,2018-05-18 01:00:00,561.286,12.4,100.0,0.0,1,4
1.0,2018-05-18 01:15:00,575.567,10.9,100.0,7.6,1,4
1.0,2018-05-18 01:30:00,602.025,12.4,100.0,0.0,1,4
1.0,2018-05-18 01:45:00,559.746,11.9,100.0,1.8,1,4
1.0,2018-05-18 02:00:00,538.411,11.9,100.0,1.8,2,4
1.0,2018-05-18 02:15:00,578.033,12.2,100.0,0.0,2,4
1.0,2018-05-18 02:30:00,540.347,12.2,100.0,0.0,2,4
1.0,2018-05-18 02:45:00,547.846,10.8,100.0,7.6,2,4
1.0,2018-05-18 03:00:00,583.36,11.5,100.0,3.6,3,4
1.0,2018-05-18 03:15:00,539.055,11.0,100.0,5.4,3,4
1.0,2018-05-18 03:30:00,534.533,11.0,100.0,5.4,3,4
1.0,2018-05-18 03:45:00,576.68,10.5,100.0,7.6,3,4
1.0,2018-05-18 04:00:00,551.319,10.9,100.0,5.4,4,4
1.0,2018-05-18 04:15:00,534.597,10.9,100.0,5.4,4,4
1.0,2018-05-18 04:30:00,553.647,10.5,100.0,7.6,4,4
1.0,2018-05-18 04:45:00,596.38,10.8,100.0,5.4,4,4
1.0,2018-05-18 05:00:00,560.85,10.8,100.0,5.4,5,4
1.0,2018-05-18 05:15:00,559.749,10.0,100.0,9.4,5,4
1.0,2018-05-18 05:30:00,594.798,10.5,100.0,7.6,5,4
1.0,2018-05-18 05:45:00,563.649,10.9,100.0,5.4,5,4
1.0,2018-05-18 06:00:00,606.31,10.5,100.0,7.6,6,4
1.0,2018-05-18 06:15:00,633.438,10.9,100.0,5.4,6,4
1.0,2018-05-18 06:30:00,692.512,10.5,100.0,7.6,6,4
1.0,2018-05-18 06:45:00,648.748,10.9,100.0,5.4,6,4
1.0,2018-05-18 07:00:00,651.269,10.1,100.0,9.4,7,4
1.0,2018-05-18 07:15:00,618.648,10.6,100.0,7.6,7,4
1.0,2018-05-18 07:30:00,574.218,10.4,100.0,9.4,7,4
1.0,2018-05-18 07:45:00,558.435,10.2,100.0,11.2,7,4
1.0,2018-05-18 08:00:00,652.961,10.8,100.0,9.4,8,4
1.0,2018-05-18 08:15:00,711.029,11.2,100.0,9.4,8,4
1.0,2018-05-18 08:30:00,715.027,11.9,100.0,7.6,8,4
1.0,2018-05-18 08:45:00,725.883,12.2,100.0,7.6,8,4
1.0,2018-05-18 09:00:00,717.627,11.6,100.0,11.2,9,4
1.0,2018-05-18 09:15:00,767.615,12.6,100.0,9.4,9,4
1.0,2018-05-18 09:30:00,748.368,10.9,95.0,20.5,9,4
1.0,2018-05-18 09:45:00,728.677,10.5,89.0,22.3,9,4
1.0,2018-05-18 10:00:00,757.493,11.1,88.0,18.4,10,4
1.0,2018-05-18 10:15:00,774.212,12.5,93.0,11.2,10,4
1.0,2018-05-18 10:30:00,771.394,13.0,94.0,13.0,10,4
1.0,2018-05-18 10:45:00,764.437,12.9,88.0,14.8,10,4
1.0,2018-05-18 11:00:00,751.496,11.6,75.0,14.8,11,4
1.0,2018-05-18 11:15:00,769.924,11.0,72.0,18.4,11,4
1.0,2018-05-18 11:30:00,770.833,10.6,71.0,24.1,11,4
1.0,2018-05-18 11:45:00,721.161,12.4,73.0,11.2,11,4
1.0,2018-05-18 12:00:00,749.352,14.2,71.0,11.2,12,4
1.0,2018-05-18 12:15:00,791.203,12.0,68.0,16.6,12,4
1.0,2018-05-18 12:30:00,824.407,13.1,70.0,9.4,12,4
1.0,2018-05-18 12:45:00,821.034,12.6,67.0,14.8,12,4
1.0,2018-05-18 13:00:00,795.508,12.9,72.0,14.8,13,4
1.0,2018-05-18 13:15:00,833.67,12.3,73.0,14.8,13,4
1.0,2018-05-18 13:30:00,809.841,14.0,72.0,11.2,13,4
1.0,2018-05-18 13:45:00,783.322,14.2,67.0,9.4,13,4
1.0,2018-05-18 14:00:00,819.776,13.3,70.0,11.2,14,4
1.0,2018-05-18 14:15:00,789.169,14.0,73.0,7.6,14,4
1.0,2018-05-18 14:30:00,802.189,13.9,68.0,11.2,14,4
1.0,2018-05-18 14:45:00,791.377,13.0,67.0,13.0,14,4
1.0,2018-05-18 15:00:00,807.45,13.4,68.0,9.4,15,4
1.0,2018-05-18 15:15:00,781.435,13.0,70.0,13.0,15,4
1.0,2018-05-18 15:30:00,721.863,15.3,67.0,7.6,15,4
1.0,2018-05-18 15:45:00,699.479,15.3,65.0,7.6,15,4
1.0,2018-05-18 16:00:00,680.23,14.4,67.0,7.6,16,4
1.0,2018-05-18 16:15:00,731.588,11.9,95.0,11.2,16,4
1.0,2018-05-18 16:30:00,681.528,12.5,99.0,9.4,16,4
1.0,2018-05-18 16:45:00,655.365,13.1,100.0,5.4,16,4
1.0,2018-05-18 17:00:00,666.588,12.4,100.0,9.4,17,4
1.0,2018-05-18 17:15:00,693.895,11.1,100.0,14.8,17,4
1.0,2018-05-18 17:30:00,749.756,11.0,100.0,13.0,17,4
1.0,2018-05-18 17:45:00,792.226,11.8,100.0,7.6,17,4
1.0,2018-05-18 18:00:00,728.066,11.7,100.0,7.6,18,4
1.0,2018-05-18 18:15:00,712.754,12.0,100.0,5.4,18,4
1.0,2018-05-18 18:30:00,716.069,12.9,100.0,0.0,18,4
1.0,2018-05-18 18:45:00,719.213,12.8,100.0,0.0,18,4
1.0,2018-05-18 19:00:00,687.088,11.4,100.0,5.4,19,4
1.0,2018-05-18 19:15:00,690.127,11.4,100.0,3.6,19,4
1.0,2018-05-18 19:30:00,700.674,10.0,100.0,9.4,19,4
1.0,2018-05-18 19:45:00,708.021,10.1,100.0,7.6,19,4
1.0,2018-05-18 20:00:00,681.948,10.2,100.0,7.6,20,4
1.0,2018-05-18 20:15:00,663.063,9.8,100.0,9.4,20,4
1.0,2018-05-18 20:30:00,646.017,9.8,100.0,9.4,20,4
1.0,2018-05-18 20:45:00,640.469,10.1,100.0,7.6,20,4
1.0,2018-05-18 21:00:00,615.937,9.6,100.0,9.4,21,4
1.0,2018-05-18 21:15:00,667.762,9.6,100.0,9.4,21,4
